movement_month,opening_balance,opening_stock_qty,imports_qty,sales_qty,returns_adjustments_qty,other_qty_in,other_qty_out,net_change,closing_balance,product_keys_with_movement,negative_product_keys
2025-12,0.0,248259.33000000002,0.0,0.0,0.0,0.0,0.0,248259.33000000002,248259.33000000002,300,0
2026-01,248259.33000000002,0.0,23988.95,28823.829999999998,0.0,0.0,0.0,-4834.879999999999,243424.45,195,1
2026-02,243424.45,0.0,44894.65,43041.2,340.5,0.0,0.0,2193.9500000000007,245618.4,218,0
2026-03,245618.4,0.0,79765.18000000001,35901.0,1165.03,0.0,0.0,45029.21,290647.61,266,5
2026-04,290647.61,0.0,15297.990000000002,41576.659999999996,544.72,0.0,0.0,-25733.949999999997,264913.66000000003,246,5
2026-05,264913.66000000003,0.0,23092.7,51416.729999999996,454.36,0.0,0.0,-27869.67,237043.99000000002,249,8
2026-06,237043.99000000002,0.0,23287.5,28969.65,178.5,0.0,0.0,-5503.65,231540.34,175,12
