reference,color_normalized,product_key,descriptions,first_movement_date,last_movement_date,total_qty_in,total_qty_out,current_net_qty,movement_rows,sources
010104,IVORY,010104|IVORY,PERUANA 150 GR,2025-12-31,2026-04-30,880.3,106.51,773.79,51,opening | sales
010104,KAKY,010104|KAKY,PERUANA 150 GR,2025-12-31,2026-06-30,128.04,108.6,19.44,9,opening | sales
010104,NEGRO,010104|NEGRO,PERUANA 150 GR,2025-12-31,2026-06-30,2334.2599999999998,807.31,1526.95,132,opening | sales
010104,PAPRIKA,010104|PAPRIKA,PERUANA 150 GR,2025-12-31,2026-06-30,177.71,20.99,156.72,11,opening | sales
010104,RATA,010104|RATA,PERUANA 150 GR,2025-12-31,2026-04-30,54.45,36.45,18.0,4,opening | sales
010104,ROJO,010104|ROJO,PERUANA 150 GR,2025-12-31,2026-05-31,660.08,96.03,564.05,42,opening | sales
010104,TOFFE,010104|TOFFE,PERUANA 150 GR,2025-12-31,2026-04-30,476.73,40.7,436.03,25,opening | sales
010104,TURQUI,010104|TURQUI,PERUANA 150 GR,2025-12-31,2026-04-30,385.05,35.25,349.8,23,opening | sales
010104,VERDE MILITAR,010104|VERDE MILITAR,PERUANA 150 GR,2025-12-31,2026-06-30,100.2,20.14,80.06,6,opening | sales
010105,AMARILLO MEDIO,010105|AMARILLO MEDIO,PERUANA PIQUE LICRADO,2025-12-31,2026-05-31,394.3,161.55,232.74999999999997,24,opening | sales
010105,ARENA,010105|ARENA,PERUANA PIQUE LICRADO,2025-12-31,2026-06-30,484.9,36.099999999999994,448.8,30,opening | sales
010105,AZUL M,010105|AZUL M,PERUANA PIQUE LICRADO,2025-12-31,2026-05-31,332.1,151.9,180.2,21,opening | sales
010105,BLANCO,010105|BLANCO,PERUANA PIQUE LICRADO,2025-12-31,2026-06-30,2578.5,716.2,1862.3,150,opening | sales
010105,CEMENTO,010105|CEMENTO,PERUANA PIQUE LICRADO,2025-12-31,2026-06-30,444.55,162.75,281.8,28,opening | sales
010105,CIELO,010105|CIELO,PERUANA PIQUE LICRADO,2025-12-31,2025-12-31,344.05,0.0,344.05,19,opening
010105,IVORY,010105|IVORY,PERUANA PIQUE LICRADO,2025-12-31,2026-05-31,144.05,144.05,0.0,11,opening | sales
010105,KAKY,010105|KAKY,PERUANA PIQUE LICRADO,2025-12-31,2026-05-31,433.35,135.4,297.95,26,opening | sales
010105,LILA,010105|LILA,PERUANA PIQUE LICRADO,2025-12-31,2026-03-31,366.0,18.35,347.65000000000003,21,opening | sales
010105,MENTA BEBE,010105|MENTA BEBE,PERUANA PIQUE LICRADO,2025-12-31,2025-12-31,271.85,0.0,271.85,15,opening
010105,NEGRO,010105|NEGRO,PERUANA PIQUE LICRADO,2025-12-31,2026-06-30,2965.4,739.75,2225.65,171,opening | sales
010105,PAPRIKA,010105|PAPRIKA,PERUANA PIQUE LICRADO,2025-12-31,2026-03-31,353.0,17.75,335.25,21,opening | sales
010105,PISTACHO,010105|PISTACHO,PERUANA PIQUE LICRADO,2025-12-31,2026-03-31,179.29999999999998,17.75,161.54999999999998,11,opening | sales
010105,RATA,010105|RATA,PERUANA PIQUE LICRADO,2025-12-31,2026-05-31,341.4,136.0,205.39999999999998,21,opening | sales
010105,ROJO,010105|ROJO,PERUANA PIQUE LICRADO,2025-12-31,2026-05-31,160.4,143.25,17.14999999999999,12,opening | sales
010105,ROSADO,010105|ROSADO,PERUANA PIQUE LICRADO,2025-12-31,2026-03-31,311.15,18.15,293.0,18,opening | sales
010105,TURQUI,010105|TURQUI,PERUANA PIQUE LICRADO,2026-02-26,2026-06-30,762.9000000000001,163.9,599.0,47,receipts | sales
010105,VERDE BOTELLA,010105|VERDE BOTELLA,PERUANA PIQUE LICRADO,2025-12-31,2026-03-31,337.54,38.3,299.24,21,opening | sales
010105,VERDE MILITAR,010105|VERDE MILITAR,PERUANA PIQUE LICRADO,2025-12-31,2025-12-31,290.55,0.0,290.55,17,opening
010106,ARENA,010106|ARENA,PERUANA 310 GR,2025-12-31,2026-06-30,1179.89,1112.31,67.58000000000004,72,opening | receipts | sales
